port_name,closest_name,closest_distance
AASIAAT,QEQERTARSUAQ,64997.95163401029
ABU KHAMMASH,MARSA SABRATAH,69562.76815556994
ACAJUTLA,ACAJUTLA OFFSHORE TERMINAL,3602.9021581901548
ACAPULCO,LAZARO CARDENAS,265836.4025025838
AD DAKHLA,NOUADHIBOU,330718.63270077057
ADAK NAVAL AIR STATION,PALISADES POINT,173523.73518526537
ADEN,AL MUKHA,193462.2766963315
ADLER,SOCHI,23202.46521557204
ADRA,MOTRIL,43107.37140124122
AGADIR,ESSAOUIRA,119467.25299908702
AGUILAS,HORNILLO,1472.2796782115322
AHUKINI LANDING,NAWILIWILI BAY,5819.330454729488
AIOI,O0KIHAMA,9857.80779290608
AJMAN,ASH SHARIQAH,6695.438355747599
AKAROA,PORT LYTTELTON,29974.751988834156
AKITA-FUNAKAWA KO,NOSHIRO KO,42624.862914770114
AKSAZ LIMANI,MARMARIS,9089.828983467858
AL AQABAH,ELAT,6094.099442589183
AL BURAYQAH,EZ ZUEITINA,64617.664328033374
AL KHAIR OIL TERMINAL,PORT SUDAN,2546.208416623839
AL LADHIQIYAH,BANIYAS,42320.6798462595
AL SHAHEEN TERMINAL,AL RAYYAN TERMINAL,45345.00948562307
ALBANY,RENSSELAER,0.0
ALBANY,ALBANY,0.0
ALBERTON,SUMMERSIDE,49465.91818896334
ALCAN HARBOR,SKOOT COVE,1853.1775562239377
ALEKSANDROVSK -SAKHALINSKIY,MYS ROGATYY OKTYABRSKIY,18679.918955615132
ALEXANDRIA,WASHINGTON D.C.,7413.04381020027
ALEXANDRIA BAY,ROCKPORT,5715.4586201970915
ALEXANDROUPOLI,LAGOS,65687.75806538116
ALGONAC,ALGONAC,0.0
ALGONAC,WALPOLE ISLAND,0.0
ALIAGA,NEMRUT LIMANI BAY,7552.313024217395
ALICANTE,TORREVIEJA,44363.984330367035
ALMERIA,ADRA,51675.87244113551
ALOFI,NEIAFU,428324.3751909109
ALOTOA,DISCOVERY BAY,11701.989098944174
AMAGASAKI,OSAKA,7198.388750240968
AMBARCHIK,PEVEK,308259.9811303568
AMBARLI,ISTANBUL,23061.723332873717
AMHERSTBURG,TRENTON,6631.385824086269
AMPENAN,LABUHANHAJI,56931.91800254746
AMSTERDAM,ZAANDAM,8683.857467186932
AMUAY (BAHIA DE AMUAY),LAS PIEDRAS,5848.360550113681
ANAPA,NOVOROSSIYSK,41221.106220790636
ANCHORAGE,WHITTIER,78931.26637773257
ANDENES,HARSTAD,61570.572196027846
ANDERSEN HARBOR,MELCHIOR HARBOR,3212.7904179107554
ANDRES (ANDRES LGN TERMINAL),SANTO DOMINGO,26629.146694368123
ANGRA DOS REIS,GEBIG,10883.605144254021
ANNAPOLIS,BALTIMORE,32664.9358994434
ANNAPOLIS ROYAL,DIGBY,24707.59915616847
ANTAN OIL TERMINAL,MOUDI MARINE TERMINAL,20009.31439951541
ANTIBES,CANNES,10104.031321530982
ANTILLA,FELTON,17770.12218096836
ANTIOCH,PITTSBURG,7530.961992942716
ANTOFAGASTA,MEJILLONES,61369.87015807096
ANTSOHIM BONDRONA,ANDOANY,67618.78057963711
ANZIO,FIUMICINO,48433.8943761868
AOKATA,MATSU-SHIMA,50069.589091294285
APALACHICOLA,CARRABELLE,33967.01310661457
APIA,PAGO PAGO HARBOR,129505.51072429262
APRA HARBOR,ROTA,95344.14306591803
ARDRISHAIG,CRINAN (CANAL),10365.33726511546
ARDROSSAN,HUNTERSTON,11878.298692774319
ARGENTIA,COME BY CHANCE HARBOR,55653.80634646932
ARICHAT,CANSO,20427.296422191364
ARROYO,LAS MAREAS,10738.904730489905
ARZEW EL DJEDID,ARZEW,5835.6452664692
ASHLAND,WASHBURN,7521.469502274858
ASHTABULA,CONNEAUT,21968.640313734097
ASHTART OIL TERMINAL,HOUMT SOUK,66262.69283038982
ASPROPIRGOS,ELEVSIS,4379.15462146759
ASSAB,AL MUKHA,64581.46926254555
ASTAKOS,MESOLONGION,30483.78933542601
ATLANTIC CITY,BARNEGAT,52106.57550452842
ATTU,AASIAAT,90672.10393848715
ATUONA,BAIE TAIOHAE,151384.70396012077
AU SABLE,OSCODA,1853.2887513253097
AUCKLAND,MANUKAU HARBOR,9384.004237203697
AUGUSTA,MELILLI OIL TERMINAL,11217.156247160066
AVATIU,VAITAPE,993527.643309683
AVEIRO,DOURO,55615.19462242054
AYVALIK,MITILINI,26691.042570747904
AZ ZAWIYA,MARSA SABRATAH,20333.921200202993
AZHIKAL (AZHIKKAL),CALICUT (KOZHIKODE),89885.26272144805
AZOV,ROSTOV-NA-DONU,22678.680937093482
BAGNOLI,POZZUOLI,4207.650078266655
BAHAI DE LA HABANA,MARIEL,42618.660886082034
BAHIA DE ANCON,CHANCAY,19903.808365493882
BAHIA DE FAJARDO,ENSENADA HONDA,11119.510117748692
BAHIA DE JOBOS,LAS MAREAS,1762.9756619988927
BAHIA DE LAS MINAS,PUERTO COLON,8199.31424464045
BAHIA DE MATARANI,PUERTO ILO,106292.71401601538
BAHIA DE PERTIGALETE,GUANTA,2600.072841100217
BAHIA DE VALDIVIA,PUERTO DE CORRAL,17320.916269531503
BAHIA DE VALPARAISO,BAHIA QUINTERO (VENTANAS),30655.66051963703
BAHIA HERRADURA GUAYACAN,COQUIMBO,3707.743980001327
BAHIA QUINTERO (VENTANAS),BAHIA DE VALPARAISO,30655.66051963703
BAHIA SAN VICENTE,TALCAHUANO,7003.493779694174
BAIE TAIOHAE,ATUONA,151384.70396012077
BAJO GRANDE,MARACAIBO,13474.63594934848
BALAKLAVA,SEVASTOPOL,14006.915168541611
BALBOA,VACAMONTE,14371.548116617434
BALHAF,RUDUM TERMINAL,28833.902977473128
BAMBERTON,ESQUIMALT HARBOR,14352.914291736517
BANDAR KHOMEYNI,BANDAR-E MAHSHAHR,10277.478471211874
BANDAR SERI BEGAWAN,MUARA HARBOR,26280.709129788916
BANDAR-E MAHSHAHR,BANDAR KHOMEYNI,10277.478471211874
BANDAR-E SHAHID REAJIE,BANDAR ABBAS,14318.780137838823
BANDIRMA,ERDEK,14598.591049080995
BANDON,PROSPER,5495.423202895976
BANGHAZI,EZ ZUEITINA,140847.16522317988
BANGOR,WINTERPORT,19667.522816388024
BANGOR,KILROOT,9807.5903483338
BANIYAS,TARTUS,32405.803595081015
BANJARMASIN,STAGEN,173953.37738871874
BANJUL,LYNDIANE,90642.40612773098
BANTRY,CASTLETOWN BEARHAVEN,32397.355078062923
BANZART,MENZEL BOURGUIBA,16560.857153696517
BAOBAB MARINE TERMINAL,ESPOIR MARINE TERMINAL,14441.745205405789
BAR HARBOR,WINTER HARBOR,9271.349520849366
BARAAWE,MARKA,106522.66833843202
BARAGA,L ANSE,2246.1247484791947
BARBER'S POINT,BARBERS POINT TERMINAL,5821.742211652402
BARENTSBURG,LONGYEARBYEN,36665.964674770185
BARRANQUILLA,POZOS COLORADOS,59956.17345860817
BARROW,WAINWRIGHT,136230.48844935038
BASARABI,MEDGIDIA,16196.707197287236
BASILIAN CITY (ISABELA),PORT HOLLAND,21574.269515746306
BASS HARBOR,SOUTHWEST HARBOR,6160.976501626001
BASSE TERRE,POINTE A PITRE,33609.97380197471
BASTIA,L'ILE ROUSSE,42889.53960228407
BATCHAWANA BAY,GOULAIS BAY,21759.330117738155
BATEMANS BAY,JERVIS BAY,86612.83986130162
BATON ROUGE,ST. JAMES,57181.47102650506
BATSFJORDEN,BERLEVAG,34817.01569992745
BAUBAU,RAHA ROADSTEAD,69776.94046265779
BAY CITY,SAGINAW,19296.457487674357
BAY OF PILLARS,WASHINGTON BAY,16450.754125445837
BAYBORO,NEW BERN,26361.05418655511
BAYFIELD,LA POINTE,3142.4037040535286
BAYRUT,SIDON/ZAHRANI TERMINAL,44157.09059361084
BAYUQUAN,YINGKOU,44472.0843202284
BAYWAY,BAYWAY,0.0
BAYWAY,GULFPORT SI,0.0
BEAR ISLAND,HOGG ISLAND,1853.2887513250782
BEAUHARNOIS,VAUDREUIL,14940.610146405068
BEDI,SIKKA,22542.462208758538
BEIRA,CHINDE,224648.2107517043
BELANAK FIELD TERMINAL,UDANG OILFIELD,28948.822688372355
BELAWAN,PANGKALANSUSU,63668.75304678962
BELFAST,SEARSPORT,7584.092447720913
BELHAVEN,PLYMOUTH,30291.578098496506
BELIDA MARINE TERMINAL,MALONG MARINE TERMINAL,65754.85909824554
BELIZE CITY,PUERTO CORTES,186984.41806147702
BELKOFSKI,KING COVE,18417.485636988873
BELLA BELLA,KLEMTU,54231.34897125111
BELLA COOLA,BELLA BELLA,94519.37292668929
BELLINGHAM,CHERRY POINT,22438.029649191132
BELOMORSK,RABOCHEOSTROVSK,50044.03587657312
BENCHAMAS TERMINAL,TANTAWAN MARINE TERMINAL,51519.2280726655
BENI SAF,GHAZAOUET,49226.64906818378
BENOA,TANJUNG SANGATA,81730.53284107428
BENTI,PEPEL,66924.56207592126
BERG,BRONNOYSUND,11119.510117747637
BERGH COVE,COAL HARBOR,7777.927078577747
BERGKVARA,DEGERHAMN,19852.03943633528
BERNARD HARBOR,LADY FRANKLIN POINT,69319.79962836273
BERNARD HARBOR,PRUDHOE BAY,181199.30133714533
BESHAYER OIL TERMINAL,AL KHAIR OIL TERMINAL,21550.242794755904
BEVERLY,SALEM,1853.177556224405
BEYPORE,CALICUT (KOZHIKODE),9953.978970430304
BIALLA,KIMBE,53165.178774037384
BIDEFORD,WATCHET HARBOR,62761.77396985714
BIG PORT WALTER,LITTLE PORT WALTER,6156.136294904523
BLAINE,SEMIAHMOO,2216.642950706249
BLANC SABLON,RODDICKTON,92773.22963448231
BLANGLANCANG,PANGKALANSUSU,175333.8024300594
BLANGLANCANG,PANGKALANSUSU,175306.56667612924
BLIND RIVER,MELDRUM BAY,30629.3299726688
BLONDUOS,SKAGASTROND,18548.067908680347
BLUEFIELDS,EL BLUFF,5745.218282807811
BLUFF HARBOR,OTAGO HARBOR,197249.42821755502
BLYTH,TYNEMOUTH,14451.734292804123
BOCAS DEL TORO,ALMIRANTE,18659.901467949396
BOLLSTABRUK,VAJA,2035.435097603923
BOLUNGAVIK,ISAFJORDUR,12297.572951050535
BOMA,MATADI,44402.68745066719
BONGKOT TERMINAL,ERAWAN TERMINAL,159126.2870879804
BONIFACIO,PORTO VECCHIO,24269.782049580448
BONTHE,PEPEL,131523.02079483384
BOOTHBAY HARBOR,SOUTH BRISTOL,2672.1931396344926
BOSTON,QUINCY,13061.971274040912
BOTANY BAY,SYDNEY,15141.548118057943
BOTAS DORTYOL OIL TERMINAL,DELTA TERMINAL,3497.158779078096
BRASS OIL TERMINAL,PENNINGTON OIL TERMINAL,76693.76876019458
BRATTHOLMEN,BERGEN,9944.31586412687
BREDVIK,SORVAER,7847.2491608230475
BREMERHAVEN,NORDENHAM,8639.472008728337
BREMERTON,EAST BREMERTON,2500.8709793713856
BRIDGEPORT,SOUTHPORT,9156.621429849
BRIDGWATER,WATCHET HARBOR,23901.662572910296
BRIDPORT HARBOUR,WEYMOUTH HARBOUR,24934.923494247327
BRINDISI,MONOPOLI,66491.97039258503
BRISTOL,TIVERTON,5567.526396588674
BRISTOL,BURLINGTON,2333.4134906009735
BRISTOL,AVONMOUTH,6858.351066666033
BROADFORD BAY,KYLEAKIN,9209.417773479656
BRONTE,OAKVILLE,5481.523203915693
