country,average_closest_distance,max_distance
AE,16565.985664246917,20996.686597431562
AL,75795.0249172688,94609.23042715232
AO,45343.38113251532,108748.22852441219
AQ,57524.654909912686,149069.315411321
AR,48669.717749430296,240969.24249819526
AU,117660.96259176564,529545.3547475704
BD,228505.47197791046,228505.47197791046
BE,31410.247532649068,39074.964029291914
BG,87245.69595825227,87245.69595825227
BN,19278.85891496997,26280.709129788916
BQ,212543.61593471534,822192.014050892
BR,130469.06358240957,590177.445360777
BS,102234.34884657168,307139.1270702337
CA,45631.627771286745,1199092.2141692427
CD,44402.68745066719,44402.68745066719
CG,53786.191753930514,89330.75788059828
CI,86442.97242616763,230445.4268676913
CL,45139.9782192664,193529.75515004617
CM,15412.82574154704,16567.14643603495
CN,60694.87654867894,241592.6384514528
CO,72970.39257544957,296234.3470007595
CR,51833.15020393372,141324.13996041595
CU,49221.935030152905,118719.28094220748
CV,270152.7520704643,270152.7520704643
CW,7491.310720027821,9135.160014765179
CY,38480.10794498219,55525.66643937621
DE,20393.09871700995,48919.43724442084
DJ,5446.1984425210985,5446.1984425210985
DK,16615.21719823748,37623.01060620266
DO,37795.04905826329,110447.83809928478
DZ,48333.51192262309,129180.04871017928
EC,60501.91246781073,113204.19572842642
EE,11752.458567987129,11752.458567987129
EG,41005.16666668912,160662.34644537815
EH,451366.6604069999,451366.6604069999
ES,46512.758205010636,150049.09525407286
FI,23332.797527124992,37455.77832378511
FJ,56578.026163123985,66688.69976461092
FM,634531.1911237861,704119.5473736866
FO,7413.043810199196,7413.043810199196
FR,25287.173053536782,168057.0622408213
GA,55810.810953045846,156093.3889675318
GB,15587.00820606349,62761.77396985714
GE,44967.18229908473,104883.66300043331
GL,97508.91891022823,559416.7010665941
GP,72663.05273621384,216270.5517843343
GQ,63759.06068579217,63759.06068579217
GR,31632.090675233514,102154.62935026764
GS,22942.0046289029,32086.07093172317
GT,4113.459343372832,4113.459343372832
GW,80018.34982065724,80018.34982065724
GY,90957.58382790053,90957.58382790053
HN,36059.31118392783,53782.88570405208
HR,32315.419581045127,68319.32797745666
HT,40175.606022350505,40175.606022350505
ID,104701.90953466635,555501.1590227527
IE,18788.3814218876,41081.0260148546
IL,40028.7857471209,40028.7857471209
IN,103953.47361174066,1153477.4491475178
IQ,9574.69945205644,13363.324896326243
IR,36210.97667357897,156032.28055662278
IS,23807.39427368491,64968.52309168533
IT,26075.0430802094,95659.72999812369
JM,24442.463740855084,38171.00775314756
JP,24539.960803261023,119445.60042921577
KE,53048.08490141404,53048.08490141404
KH,18419.965641482326,18419.965641482326
KP,42873.24366557982,75496.64776187314
KR,48984.302622992436,114230.1108438219
KW,13441.936190561139,13441.936190561139
KY,178337.20588188592,178337.20588188592
LB,24491.37922265408,44157.09059361084
LC,17129.530780403707,30139.307061377098
LK,150885.29381193008,190362.30710965325
LR,123113.98342327998,149375.6644822693
LT,36714.50696252704,36714.50696252704
LV,62850.2732016018,84918.68942467518
LY,94144.0198140844,146404.40606526937
MA,53987.89836251056,119467.25299908702
ME,7521.819509745733,9266.332561524263
MG,235677.59695061023,335683.434125741
MP,66157.07296681004,105399.49127326679
MR,337858.7497254512,337858.7497254512
MT,9740.980474996877,9740.980474996877
MU,620693.1079930814,620693.1079930814
MX,132146.87478937622,296433.2980300762
MY,63613.40626859132,159335.7285665439
MZ,118089.70639433093,364135.03873099905
NG,27873.00568611497,76693.76876019458
NI,30262.496473170235,54779.77466353266
NL,13237.761689485389,48686.80499881422
NO,20519.650356714632,61570.572196027846
NZ,83679.57625022269,197249.42821755502
OM,85371.11877139275,193256.26371077506
PA,9214.212898003787,18659.901467949396
PE,51321.58895467802,166114.40558182722
PF,357217.77027738944,1540813.2089963532
PG,146097.91155303852,303086.16316158575
PH,44386.15647222741,82737.81948937081
PK,37065.32020875932,37065.32020875932
PL,25969.995562007287,61146.90358512041
PR,15354.16236392587,51097.25021572686
PT,46319.68903192105,99998.90557523361
QA,61055.86577745312,87367.15841000268
RO,20032.248945622454,39282.00756844891
RU,120291.38951544737,1236431.0052352296
SA,36439.07052510335,140512.60441028306
SB,27953.5228844273,41492.688091534146
SD,14125.109892086257,29857.779940341436
SE,17820.568086348107,78728.63927658058
SG,5241.144040595199,5241.144040595199
SI,13111.5819399317,13111.5819399317
SL,58632.48887743824,131523.02079483384
SN,101155.1350899123,185952.67728975994
SO,189686.4703136559,464336.71157379413
SR,82306.853389202,203195.2361849219
SV,3602.9021581901548,3602.9021581901548
SY,35710.76234547384,42320.6798462595
TC,40354.608637737874,40354.608637737874
TG,26839.508937155875,26839.508937155875
TH,65746.28493033609,194843.38912188553
TN,47644.51158006237,93932.26070704198
TO,146592.08427114764,172689.22498237985
TR,28196.031170447975,128893.65537451598
TW,75556.84314205125,130006.80574990383
TZ,69165.29980997356,187741.9781839877
UA,43637.2753897481,90254.48270661588
US,24992.180971268786,658461.8259152756
UY,72426.32014393594,124157.17007542052
VE,22826.5389442646,97429.2835628092
VI,9458.109323667928,14194.2785055974
VN,126326.17496304736,281507.05152707646
VU,150293.61838811458,275253.51927196677
XR,60182.80226438942,107216.47744362791
YE,111148.08983690232,193462.2766963315
ZA,100818.34302479957,237167.90178715863
